"Region","Año","Denuncias","Detenciones","Ratio_Detenciones_Denuncias","Diferencia"
"Metropolitana",2024,581028,62506,10.7578292268187,518522
"O'Higgins",2015,62449,16212,25.9603836730772,46237
"O'Higgins",2016,62964,16119,25.6003430531732,46845
"O'Higgins",2017,68381,17072,24.9659993272985,51309
"O'Higgins",2018,72127,17715,24.5608440667157,54412
"O'Higgins",2019,76428,17894,23.4128853299838,58534
"O'Higgins",2020,59332,20943,35.2979842243646,38389
"O'Higgins",2021,60647,23427,38.6284564776494,37220
"O'Higgins",2022,74948,14999,20.0125420291402,59949
"O'Higgins",2023,73814,14838,20.1018776925786,58976
"O'Higgins",2024,77325,14088,18.2192046556741,63237
"Tarapacá",2015,28876,10658,36.9095442582075,18218
"Tarapacá",2016,29984,9644,32.1638207043757,20340
"Tarapacá",2017,28807,12493,43.3679314055612,16314
"Tarapacá",2018,27420,11144,40.6418672501824,16276
"Tarapacá",2019,27255,9415,34.5441203448908,17840
"Tarapacá",2020,20625,13585,65.8666666666667,7040
"Tarapacá",2021,26001,9359,35.9947694319449,16642
"Tarapacá",2022,32440,8362,25.7768187422935,24078
"Tarapacá",2023,29264,8125,27.7644887916894,21139
"Tarapacá",2024,30143,6707,22.2506054473675,23436
"Valparaíso",2015,140966,31604,22.4195905395627,109362
"Valparaíso",2016,144278,31068,21.5334285199407,113210
"Valparaíso",2017,144878,33019,22.7908999295959,111859
"Valparaíso",2018,148668,34696,23.3379072833428,113972
"Valparaíso",2019,157433,34791,22.0989246219027,122642
"Valparaíso",2020,115757,51201,44.2314503658526,64556
"Valparaíso",2021,117633,33656,28.6110190167725,83977
"Valparaíso",2022,131501,25880,19.6804587037361,105621
"Valparaíso",2023,136129,27145,19.9406445356978,108984
"Valparaíso",2024,153722,25771,16.7646790960305,127951
"Ñuble",2015,26392,5380,20.3849651409518,21012
"Ñuble",2016,25152,5120,20.3562340966921,20032
"Ñuble",2017,27354,5462,19.9678292023104,21892
"Ñuble",2018,27822,5300,19.0496729207102,22522
"Ñuble",2019,29786,5972,20.0496877727792,23814
"Ñuble",2020,26473,9533,36.0102746194236,16940
"Ñuble",2021,26906,6951,25.8343863822196,19955
"Ñuble",2022,33525,5375,16.0328113348248,28150
"Ñuble",2023,34909,5964,17.0844194906758,28945
"Ñuble",2024,37862,5877,15.5221594210554,31985
